Metadata_Plate,Metadata_Well,Metadata_Site
BR00143979,K09,1
BR00143979,L11,7
BR00143979,L11,8
BR00143979,M14,3
BR00143978,J09,3
BR00143978,I11,4
BR00143978,I11,5
BR00143978,I11,8
BR00143978,I11,9
BR00143978,J11,1
BR00143978,J11,3
BR00143978,J11,4
BR00143978,J11,5
BR00143978,J11,6
BR00143978,J11,7
BR00143978,J11,8
BR00143978,J11,9
BR00143978,I12,7
BR00143978,I12,8
BR00143978,I12,9
BR00143978,J12,1
BR00143978,J12,3
BR00143978,J12,4
BR00143978,J12,5
BR00143978,J12,7
BR00143978,J12,8
BR00143978,J12,9
BR00143978,E13,8
BR00143978,F16,1
BR00143980,N03,1
BR00143980,N03,2
BR00143980,N03,4
BR00143980,N03,5
BR00143980,N03,8
BR00143980,N03,9
BR00143980,N04,1
BR00143980,N04,2
BR00143980,N04,3
BR00143980,N04,4
BR00143980,N04,5
BR00143980,N04,6
BR00143980,N04,7
BR00143980,N04,8
BR00143980,N04,9
BR00143980,J08,9
BR00143980,I09,1
BR00143980,I09,3
BR00143980,I09,4
BR00143980,I09,5
BR00143980,I09,6
BR00143980,I09,7
BR00143980,I09,8
BR00143980,I09,9
BR00143980,J09,1
BR00143980,J09,3
BR00143980,J09,4
BR00143980,J09,5
BR00143980,J09,6
BR00143980,J09,7
BR00143980,J09,8
BR00143980,J09,9
BR00143980,H10,9
BR00143980,I10,1
BR00143980,I10,4
BR00143980,I10,5
BR00143980,I10,6
BR00143980,I10,8
BR00143980,I10,9
BR00143980,J10,1
BR00143980,J10,2
BR00143980,J10,6
BR00143980,J10,7
BR00143980,J10,8
BR00143980,J10,9
BR00143980,I11,1
BR00143980,I11,3
BR00143980,I11,4
BR00143980,I11,5
BR00143980,I11,7
BR00143980,I11,8
BR00143980,I11,9
BR00143980,J11,1
BR00143980,J11,2
BR00143980,J11,3
BR00143980,J11,4
BR00143980,J11,5
BR00143980,J11,6
BR00143980,J11,7
BR00143980,J11,8
BR00143980,J11,9
BR00143980,I12,1
BR00143980,I12,2
BR00143980,I12,3
BR00143980,I12,4
BR00143980,I12,5
BR00143980,I12,6
BR00143980,I12,7
BR00143980,I12,8
BR00143980,I12,9
BR00143980,J12,1
BR00143980,J12,3
BR00143980,J12,4
BR00143980,J12,5
BR00143980,J12,6
BR00143980,J12,7
BR00143980,J12,8
BR00143980,J12,9
BR00143980,C20,9
BR00143980,C21,1
BR00143980,C21,2
BR00143980,C21,6
BR00143980,C21,7
BR00143980,C21,8
BR00143980,C21,9
BR00143980,D21,2
BR00143980,D21,7
BR00143980,D21,8
BR00143980,D21,9
BR00143980,C22,7
BR00143980,D22,2
BR00143980,D22,5
BR00143980,D22,6
BR00143980,D22,7
BR00143980,D22,8
BR00143980,D22,9
BR00143977,H04,1
BR00143977,H04,3
BR00143977,H04,4
BR00143976,F04,6
BR00143976,F15,7
BR00143976,I15,4
BR00143976,E17,4
BR00143976,F20,8
BR00143976,M21,7
BR00143981,C09,1
BR00143981,C09,3
BR00143981,C09,5
BR00143981,C09,6
BR00143981,C09,9
BR00143981,L09,8
BR00143981,L10,6
BR00143981,L10,7
BR00143981,L10,8
BR00143981,E11,2
BR00143981,E11,3
BR00143981,E11,6
BR00143981,F11,3
BR00143981,F12,1
BR00143981,F12,3
BR00143981,F12,6
BR00143981,F12,7
BR00143981,K12,7
BR00143981,K12,8
BR00143981,L12,8
BR00143979,K09,2
BR00143979,K09,3
BR00143979,K09,4
BR00143979,K09,5
BR00143979,K09,6
BR00143979,L09,2
BR00143979,L09,4
BR00143979,L09,5
BR00143979,L09,6
BR00143979,L09,7
BR00143979,L09,8
BR00143979,K10,2
BR00143979,K10,4
BR00143979,K10,7
BR00143979,K10,8
BR00143979,L10,1
BR00143979,L10,2
BR00143979,L10,3
BR00143979,L10,5
BR00143979,L10,6
BR00143979,L10,7
BR00143979,L10,8
BR00143979,L10,9
BR00143979,K11,1
BR00143979,K11,3
BR00143979,K11,5
BR00143979,K11,6
BR00143979,K11,9
BR00143979,L11,1
BR00143979,L11,5
BR00143979,L11,6
BR00143979,L11,9
BR00143979,K12,1
BR00143979,K12,3
BR00143979,K12,5
BR00143979,K12,6
BR00143979,K12,7
BR00143979,K12,8
BR00143979,K12,9
BR00143979,L12,1
BR00143979,L12,3
BR00143979,L12,5
BR00143979,L12,6
BR00143979,L12,7
BR00143979,L12,8
BR00143979,L12,9
BR00143978,F16,2
BR00143978,F16,3
BR00143978,F16,4
BR00143978,F16,5
BR00143978,F16,6
BR00143978,F16,7
BR00143978,F16,8
BR00143978,F16,9
BR00143980,G05,6
BR00143980,H05,2
BR00143980,H05,8
BR00143980,H06,1
BR00143977,H04,5
BR00143977,H04,7
BR00143977,H04,8
BR00143977,H04,9
BR00143981,J05,9
BR00143981,K09,6
BR00143981,K09,7
BR00143981,K09,8
BR00143981,K10,1
BR00143981,K10,6
BR00143981,K10,7
BR00143981,K10,8
BR00143981,K11,1
BR00143981,K11,2
BR00143981,K11,3
BR00143981,K11,5
BR00143981,L11,2
BR00143981,K12,2
BR00143981,K12,3
BR00143981,L12,2
BR00143979,K09,8
BR00143979,L09,1
BR00143979,K10,1
BR00143979,K10,3
BR00143979,K10,5
BR00143979,K10,6
BR00143979,K11,4
BR00143979,K11,7
BR00143979,K11,8
BR00143979,L11,2
BR00143979,L11,4
BR00143979,K12,4
BR00143979,M20,1
BR00143978,E16,6
BR00143980,J10,3
BR00143980,I11,2
BR00143980,D19,8
BR00143980,C20,8
BR00143980,D20,2
BR00143980,D20,3
BR00143980,D20,4
BR00143980,D20,5
BR00143980,D20,7
BR00143980,D20,8
BR00143980,D20,9
BR00143980,C21,3
BR00143980,D21,1
BR00143980,D21,4
BR00143980,D21,5
BR00143980,D21,6
BR00143980,C22,2
BR00143980,C22,6
BR00143980,C22,8
BR00143980,D22,1
BR00143977,N15,7
BR00143976,M03,3
BR00143976,M03,6
BR00143976,N03,7
BR00143976,E15,4
BR00143976,E20,7
BR00143981,C09,4
BR00143981,K09,1
BR00143981,L09,1
BR00143981,L09,4
BR00143981,L09,7
BR00143981,L09,9
BR00143981,K10,5
BR00143981,K10,9
BR00143981,L10,2
BR00143981,L10,5
BR00143981,L10,9
BR00143981,K11,4
BR00143981,K11,6
BR00143981,K11,8
BR00143981,L11,1
BR00143981,L11,5
BR00143981,K12,6
BR00143981,K12,9
BR00143981,L12,6
BR00143980,H04,6
BR00143979,H03,4
BR00143979,H03,5
BR00143979,G04,3
BR00143979,G04,4
BR00143979,G04,8
BR00143979,H04,3
BR00143979,H04,6
BR00143979,G06,3
BR00143979,G06,7
BR00143979,M14,5
BR00143978,C03,7
BR00143978,D03,7
BR00143978,I03,2
BR00143978,J03,6
BR00143978,J03,7
BR00143978,J03,8
BR00143978,J03,9
BR00143978,C13,6
BR00143978,C13,8
BR00143978,D13,1
BR00143978,D13,2
BR00143978,D13,3
BR00143978,D13,4
BR00143978,D13,5
BR00143978,D13,6
BR00143978,D13,7
BR00143978,D13,8
BR00143978,D13,9
BR00143978,E13,4
BR00143978,E13,6
BR00143978,F13,2
BR00143978,F13,4
BR00143978,F13,5
BR00143978,F13,6
BR00143978,F13,7
BR00143978,G13,3
BR00143978,G13,5
BR00143978,H13,4
BR00143978,H13,9
BR00143978,D14,1
BR00143978,D14,2
BR00143978,D14,4
BR00143978,D14,5
BR00143978,D14,6
BR00143978,D14,7
BR00143978,D14,8
BR00143978,D14,9
BR00143978,E14,1
BR00143978,E14,4
BR00143978,F14,1
BR00143978,F14,3
BR00143978,F14,6
BR00143978,F14,8
BR00143978,F14,9
BR00143978,G14,7
BR00143978,H14,7
BR00143978,E15,1
BR00143978,E15,2
BR00143978,E15,3
BR00143978,E15,5
BR00143978,E15,7
BR00143978,E15,8
BR00143978,E15,9
BR00143978,F15,1
BR00143978,F15,2
BR00143978,F15,3
BR00143978,F15,4
BR00143978,F15,5
BR00143978,F15,6
BR00143978,F15,7
BR00143978,F15,9
BR00143978,G15,4
BR00143978,G15,7
BR00143978,G15,8
BR00143978,H15,4
BR00143978,K15,4
BR00143978,L15,5
BR00143978,E16,1
BR00143978,E16,2
BR00143978,E16,3
BR00143978,E16,5
BR00143978,E16,8
BR00143978,G16,4
BR00143978,G16,5
BR00143978,G16,8
BR00143978,H16,1
BR00143978,L16,9
BR00143978,E17,3
BR00143978,E17,4
BR00143978,F17,1
BR00143978,F17,2
BR00143978,F17,3
BR00143978,F17,5
BR00143978,F17,7
BR00143978,F17,8
BR00143978,G17,9
BR00143978,E18,3
BR00143978,E18,4
BR00143978,E18,7
BR00143978,F18,2
BR00143978,F18,8
BR00143978,G18,3
BR00143978,E19,3
BR00143978,E19,7
BR00143978,E19,8
BR00143978,F19,2
BR00143978,F19,6
BR00143978,F19,7
BR00143978,F19,8
BR00143978,H19,8
BR00143978,H19,9
BR00143978,E20,3
BR00143978,E20,4
BR00143978,F20,3
BR00143978,F20,7
BR00143978,F20,8
BR00143978,G20,3
BR00143978,G20,4
BR00143978,G20,8
BR00143978,G20,9
BR00143978,H20,5
BR00143980,I03,2
BR00143980,E13,3
BR00143980,E13,9
BR00143980,F13,3
BR00143980,G13,9
BR00143980,E14,1
BR00143980,E14,7
BR00143980,E14,8
BR00143980,E14,9
BR00143980,F14,1
BR00143980,F14,3
BR00143980,F14,4
BR00143980,F14,5
BR00143980,F14,8
BR00143980,G14,3
BR00143980,G14,6
BR00143980,G14,7
BR00143980,H14,1
BR00143980,E15,7
BR00143980,E15,9
BR00143980,F15,6
BR00143980,F15,9
BR00143980,L15,8
BR00143980,E16,1
BR00143980,E16,3
BR00143980,E16,4
BR00143980,E16,5
BR00143980,E16,6
BR00143980,F16,3
BR00143980,F16,9
BR00143980,G16,3
BR00143980,G16,9
BR00143980,H16,4
BR00143980,F17,8
BR00143980,F17,9
BR00143980,H17,8
BR00143980,E18,8
BR00143980,F18,1
BR00143980,F18,4
BR00143980,F18,7
BR00143980,G18,8
BR00143980,G18,9
BR00143980,H18,5
BR00143980,H18,9
BR00143980,F20,2
BR00143980,F20,3
BR00143980,I21,2
BR00143980,J22,9
BR00143977,G03,2
BR00143977,G03,3
BR00143977,G03,4
BR00143977,G03,8
BR00143977,G03,9
BR00143977,H03,2
BR00143977,H03,5
BR00143977,H03,6
BR00143977,H03,7
BR00143977,G04,1
BR00143977,G04,5
BR00143977,G04,6
BR00143977,G04,7
BR00143977,G04,8
BR00143977,G05,7
BR00143977,H05,2
BR00143977,H05,6
BR00143977,H05,7
BR00143977,H05,8
BR00143977,G06,4
BR00143977,G06,7
BR00143977,G08,9
BR00143977,N13,9
BR00143976,C03,1
BR00143976,G03,7
BR00143976,G03,8
BR00143976,K03,2
BR00143976,M03,1
BR00143976,M03,2
BR00143976,M03,4
BR00143976,N03,2
BR00143976,N03,5
BR00143976,C04,2
BR00143976,C04,9
BR00143976,E05,7
BR00143976,H06,6
BR00143976,D07,7
BR00143976,C08,3
BR00143976,C10,4
BR00143976,C11,3
BR00143976,C12,3
BR00143976,E13,4
BR00143976,F13,3
BR00143976,F13,6
BR00143976,F13,9
BR00143976,H13,5
BR00143976,M13,9
BR00143976,E14,8
BR00143976,F14,1
BR00143976,F14,5
BR00143976,F14,6
BR00143976,F14,7
BR00143976,F14,9
BR00143976,L14,3
BR00143976,N14,9
BR00143976,E15,3
BR00143976,E15,5
BR00143976,E15,6
BR00143976,E15,8
BR00143976,E15,9
BR00143976,F15,3
BR00143976,G15,2
BR00143976,G15,7
BR00143976,H15,2
BR00143976,H15,7
BR00143976,E16,4
BR00143976,E16,6
BR00143976,E16,9
BR00143976,F16,2
BR00143976,F16,3
BR00143976,F16,6
BR00143976,F16,8
BR00143976,G16,4
BR00143976,E17,1
BR00143976,E17,5
BR00143976,E17,9
BR00143976,F17,1
BR00143976,F17,3
BR00143976,F17,6
BR00143976,F17,8
BR00143976,F17,9
BR00143976,G17,5
BR00143976,H17,4
BR00143976,H17,5
BR00143976,E18,2
BR00143976,E18,4
BR00143976,E18,8
BR00143976,E18,9
BR00143976,F18,1
BR00143976,F18,4
BR00143976,F18,8
BR00143976,F18,9
BR00143976,H18,6
BR00143976,E19,1
BR00143976,E19,2
BR00143976,E19,4
BR00143976,E19,8
BR00143976,E19,9
BR00143976,F19,2
BR00143976,F19,3
BR00143976,F19,4
BR00143976,F19,5
BR00143976,F19,6
BR00143976,F19,9
BR00143976,G19,4
BR00143976,G19,5
BR00143976,G19,8
BR00143976,G19,9
BR00143976,H19,1
BR00143976,H19,2
BR00143976,H19,4
BR00143976,H19,9
BR00143976,E20,8
BR00143976,E20,9
BR00143976,F20,1
BR00143976,F20,3
BR00143976,F20,4
BR00143976,F20,5
BR00143976,F20,7
BR00143976,F20,9
BR00143976,E21,2
BR00143976,E21,4
BR00143976,F21,2
BR00143976,F21,3
BR00143976,F21,4
BR00143976,F21,5
BR00143976,F21,6
BR00143976,G21,3
BR00143976,G21,4
BR00143976,G21,7
BR00143976,H21,3
BR00143976,E22,1
BR00143976,E22,2
BR00143976,E22,3
BR00143976,E22,4
BR00143976,E22,6
BR00143976,F22,2
BR00143976,F22,4
BR00143976,F22,7
BR00143976,G22,3
BR00143981,G03,7
BR00143981,H04,3
BR00143978,E21,5
BR00143980,E06,4
BR00143980,G10,8
BR00143980,J18,4
BR00143980,J18,5
BR00143976,E08,6
BR00143979,G10,5
BR00143979,H11,1
BR00143979,H11,3
BR00143979,H11,4
BR00143979,H11,5
BR00143979,H11,9
BR00143979,H12,1
BR00143979,H12,3
BR00143978,G09,1
BR00143978,G09,4
BR00143978,G09,5
BR00143978,G09,7
BR00143978,G09,8
BR00143978,G09,9
BR00143978,H09,1
BR00143978,H09,2
BR00143978,H09,3
BR00143978,H09,5
BR00143978,H09,7
BR00143978,H09,8
BR00143978,H09,9
BR00143978,G10,1
BR00143978,G10,2
BR00143978,G10,3
BR00143978,G10,4
BR00143978,G10,5
BR00143978,G10,6
BR00143978,G10,7
BR00143978,G10,8
BR00143978,G10,9
BR00143978,H10,1
BR00143978,H10,2
BR00143978,H10,3
BR00143978,H10,4
BR00143978,H10,5
BR00143978,H10,6
BR00143978,H10,7
BR00143978,H10,8
BR00143978,H10,9
BR00143978,E11,6
BR00143978,E11,7
BR00143978,E11,8
BR00143978,G11,1
BR00143978,G11,2
BR00143978,G11,3
BR00143978,G11,4
BR00143978,G11,5
BR00143978,G11,6
BR00143978,G11,7
BR00143978,G11,8
BR00143978,G11,9
BR00143978,H11,1
BR00143978,H11,2
BR00143978,H11,3
BR00143978,H11,4
BR00143978,H11,5
BR00143978,H11,6
BR00143978,H11,7
BR00143978,H11,8
BR00143978,H11,9
BR00143978,E12,7
BR00143978,G12,1
BR00143978,G12,2
BR00143978,G12,3
BR00143978,G12,4
BR00143978,G12,5
BR00143978,G12,6
BR00143978,G12,7
BR00143978,G12,8
BR00143978,G12,9
BR00143978,H12,1
BR00143978,H12,2
BR00143978,H12,3
BR00143978,H12,4
BR00143978,H12,5
BR00143978,H12,6
BR00143978,H12,7
BR00143978,H12,8
BR00143978,H12,9
BR00143978,H21,4
BR00143980,H05,5
BR00143980,H06,4
BR00143980,F07,4
BR00143980,G07,2
BR00143980,G07,3
BR00143980,G07,4
BR00143980,G07,5
BR00143980,G07,9
BR00143980,H07,4
BR00143980,H07,5
BR00143980,H07,7
BR00143980,H07,8
BR00143980,H07,9
BR00143980,F08,4
BR00143980,G08,7
BR00143980,G08,8
BR00143980,H08,2
BR00143980,H08,3
BR00143980,H08,4
BR00143980,H08,5
BR00143980,H08,9
BR00143980,E09,3
BR00143980,E09,4
BR00143980,E09,5
BR00143980,E09,9
BR00143980,F09,2
BR00143980,F09,3
BR00143980,F09,4
BR00143980,F09,5
BR00143980,F09,9
BR00143980,G09,1
BR00143980,G09,2
BR00143980,G09,3
BR00143980,G09,4
BR00143980,G09,5
BR00143980,G09,6
BR00143980,G09,7
BR00143980,G09,8
BR00143980,G09,9
BR00143980,H09,1
BR00143980,H09,2
BR00143980,H09,3
BR00143980,H09,4
BR00143980,H09,5
BR00143980,H09,6
BR00143980,H09,7
BR00143980,H09,8
BR00143980,H09,9
BR00143980,E10,3
BR00143980,E10,4
BR00143980,F10,2
BR00143980,F10,4
BR00143980,F10,5
BR00143980,F10,9
BR00143980,G10,1
BR00143980,G10,2
BR00143980,G10,3
BR00143980,G10,4
BR00143980,G10,5
BR00143980,G10,6
BR00143980,G10,7
BR00143980,G10,9
BR00143980,H10,1
BR00143980,H10,2
BR00143980,H10,3
BR00143980,H10,4
BR00143980,H10,5
BR00143980,H10,6
BR00143980,H10,7
BR00143980,H10,8
BR00143980,H10,9
BR00143980,E11,1
BR00143980,E11,2
BR00143980,E11,3
BR00143980,E11,4
BR00143980,E11,5
BR00143980,E11,6
BR00143980,E11,9
BR00143980,F11,4
BR00143980,F11,5
BR00143980,G11,1
BR00143980,G11,2
BR00143980,G11,3
BR00143980,G11,4
BR00143980,G11,5
BR00143980,G11,6
BR00143980,G11,7
BR00143980,G11,8
BR00143980,G11,9
BR00143980,H11,1
BR00143980,H11,2
BR00143980,H11,3
BR00143980,H11,4
BR00143980,H11,5
BR00143980,H11,6
BR00143980,H11,7
BR00143980,H11,8
BR00143980,H11,9
BR00143980,E12,3
BR00143980,E12,4
BR00143980,E12,5
BR00143980,F12,4
BR00143980,F12,5
BR00143980,G12,1
BR00143980,G12,2
BR00143980,G12,3
BR00143980,G12,4
BR00143980,G12,5
BR00143980,G12,6
BR00143980,G12,7
BR00143980,G12,8
BR00143980,G12,9
BR00143980,H12,1
BR00143980,H12,2
BR00143980,H12,3
BR00143980,H12,4
BR00143980,H12,5
BR00143980,H12,6
BR00143980,H12,7
BR00143980,H12,8
BR00143980,H12,9
BR00143980,G17,3
BR00143980,G17,4
BR00143980,H17,3
BR00143980,G19,4
BR00143980,G20,1
BR00143980,G20,2
BR00143980,G20,4
BR00143980,G20,5
BR00143980,G20,7
BR00143980,G20,9
BR00143980,H20,2
BR00143980,H20,3
BR00143980,H20,4
BR00143980,I20,4
BR00143980,I20,5
BR00143980,I20,9
BR00143980,G21,5
BR00143980,G21,9
BR00143980,H21,4
BR00143980,H21,5
BR00143980,I21,1
BR00143980,I21,2
BR00143980,I21,3
BR00143980,I21,4
BR00143980,I21,5
BR00143980,I21,9
BR00143980,J21,1
BR00143980,J21,2
BR00143980,J21,4
BR00143980,J21,5
BR00143980,J21,8
BR00143980,J21,9
BR00143980,G22,1
BR00143980,G22,4
BR00143980,G22,5
BR00143980,G22,6
BR00143980,G22,8
BR00143980,G22,9
BR00143980,H22,1
BR00143980,H22,4
BR00143980,H22,5
BR00143980,H22,8
BR00143980,H22,9
BR00143980,I22,1
BR00143980,I22,2
BR00143980,I22,3
BR00143980,I22,4
BR00143980,I22,5
BR00143980,I22,9
BR00143980,J22,1
BR00143980,J22,3
BR00143980,J22,4
BR00143980,J22,5
BR00143980,J22,6
BR00143980,J22,7
BR00143980,J22,8
BR00143980,J22,9
BR00143976,E08,7
BR00143976,E12,4
BR00143976,H12,8
BR00143976,H12,9
BR00143981,G07,1
BR00143981,G07,3
BR00143981,G07,5
BR00143981,G08,1
BR00143981,G08,3
BR00143981,G08,4
BR00143981,G08,5
BR00143981,E09,7
BR00143981,G09,1
BR00143981,G09,4
BR00143981,G09,5
BR00143981,H09,5
BR00143981,G10,1
BR00143981,G10,4
BR00143981,G10,5
BR00143981,H10,5
BR00143981,H10,9
BR00143981,H11,1
BR00143981,H11,4
BR00143981,H11,5
BR00143981,G12,3
BR00143981,H12,2
BR00143976,N12,5
